Date,Money in,Money out,Description
09/04/2025,,414.37,"R and F Restaurants Soho London GBR Restaurants, Bars 08.04.2025 Exchange rate 1.3057 of 08.04.2025 1.75% processing fee"
09/04/2025,"5,660.52",,Amount of last statement
10/04/2025,,403.07,Soho House Kettners TownhLondon GBR Hotels 08.04.2025 Exchange rate 1.2988 of 09.04.2025 1.75% processing fee Check-in-date: 07.04.25 No. of nights: 1
11/04/2025,,2.68,Soho House Kettners TownhLondon GBR Hotels 09.04.2025 Exchange rate 1.3158 of 10.04.2025 1.75% processing fee Check-in-date: 08.04.25 No. of nights: 1
17/04/2025,,264.42,"BOW STREET HOTEL LIMITED LONDON GBR Restaurants, Bars 15.04.2025 Exchange rate 1.3371576 of 16.04.2025 1.75% processing fee"
25/04/2025,,754.97,HAM YARD HOTEL SOHO GBR Hotels 23.04.2025 Exchange rate 1.344168 of 24.04.2025 1.75% processing fee Check-in-date: 23.04.25
28/04/2025,,301.03,"Soho House HRH REC London GBR Membership clubs (sports, recreation) 25.04.2025 Exchange rate 1.3447776 of 25.04.2025 1.75% processing fee"
29/04/2025,,622.8,HAM YARD HOTEL SOHO GBR Hotels 24.04.2025 Exchange rate 1.3483336 of 26.04.2025 1.75% processing fee Check-in-date: 23.04.25
30/04/2025,,164.71,ADaysMarch Berwick st London GBR Clothing and accessories stores 29.04.2025 Exchange rate 1.3489432 of 29.04.2025 1.75% processing fee
30/04/2025,,"5,660.52",Direct debit (SWIFT) of 29.04.2025
02/05/2025,,36.09,"Soho House Kettners TownhLondon GBR Hotels
30.04.2025
Exchange rate 1.3591032 of 30.04.2025
1.75% processing fee
Check-in-date:
29.04.25
No. of nights:
1"
02/05/2025,,504.75,"Soho House Kettners TownhLondon GBR Hotels
29.04.2025
Exchange rate 1.3591032 of 30.04.2025
1.75% processing fee
Check-in-date:
28.04.25
No. of nights:
1"
05/05/2025,,29.11,"SUMUP *TRAORE MORIBOU LIVRY GARGAN FRA
Taxicabs
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,12.34,"CGF17310SWC1 4145024 75PARIS FRA
Restaurants, Bars
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,90.84,"Hotel Elysia Paris FRA
Restaurants, Bars
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,329.8,"BICHE 2153545 PARIS 8 FRA
Restaurants, Bars
02.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,28.15,"SQ *SQUARE Paris FRA
Amusement and recreation services
02.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,68.71,"SUMUP *TAXICDG AUBERVILLIERSFRA
Taxicabs
02.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,174.68,"SQ *ENTREMAINS Paris FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,151.39,"DESIGN'NAA PARIS FRA
Clock or jewelry or watch stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,24.46,"BALTARD AU LOUVRE PARIS FRA
Restaurants, Bars
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,103.65,"SI PETIT 2583924 PARIS 11 FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,64.98,"INTIMISSIMI 412331375PARIS FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,27.95,"Cour des Vosges FnB Paris FRA
Hotels
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee
Check-in-date:
02.05.25
No. of nights:
1"
05/05/2025,,14.91,"SMITH AND SON 4391418 75PARIS FRA
Book stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,320.25,"ARGALETO PARIS FRA
Drapery, window covering and upholstery
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,276.7,"LS Trattoria da Giusep Paris FRA
Restaurants, Bars
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,319.09,"ZETTLE_*HAROLD PARIS FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,241.06,"SQ *THE ROOM - VINTAGE SHParis FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,"1,914.64","Mode de Vue Paris FRA
Opticians
03.05.2025"
05/05/2025,,53.92,"MARIANA 2956948 ALFORTVILLE FRA
Restaurants, Bars
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,634.68,"AllSaints Paris Paris FRA
Clothing and accessories stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,227.09,"LAFAURIE BIR. 2813505 PARIS FRA
Hardware stores
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,611.39,"ARGALETO PARIS FRA
Drapery, window covering and upholstery
03.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,375.1,"ElysiaHtel Paris FRA
Hotels
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,14.56,"LE RECRUTEMENT PARIS 7 FRA
Business services
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,15.14,"CIVETTE ST DOMIN PARIS FRA
Restaurants, Bars
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/05/2025,,16.3,"RELAY OCCITAN 424248675325373 CB SFRA
Book stores
04.05.2025
Exchange rate 1.144524 of 02.05.2025
1.75% processing fee"
05/08/2025,"9,609.78",,Statement amount
05/08/2025,"9,609.78",,"Card total RONALD DOWNEY, TopCard Visa Card Gold"
