description,category
Direct Debit from RSPCA 4-8-2024,Charitable Donations
Faster Payment to Superdrug ref HDKA77082561596584,Health & Beauty
Dir3ct Lin3 #REF92789,Insurance
POS H0lland & Barr3tt GB,Health & Beauty
Monzo 2025-02-24,Transfer
POS M0nz0 GB,Transfer
TFL London 2025-03-21,Travel
m0nz0 - 0nlin3 purchas3,Transfer
Barclays Interest TRANSFER [3480],Income
Card Paym3nt t0 Vanguard UK 0n 2025-04-04,Investment
Faster Payment to eBay UK ref QKUX34591772103500,Shopping
Dropbox TRANSFER [5396],Technology
McDonald's #REF52764,Food & Drink
AIRBNB PAYMENT,Accommodation
Faster Payment to Direct Line ref RQUP45787105847150,Insurance
Card Payment to Trainline on 2025-03-01,Travel
Card Payment to Morrisons on 2025-05-26,Groceries
Airbnb 2025-05-09,Accommodation
POS Micr0s0ft 365 GB,Technology
POS Google Services GB,Technology
Holland & Barrett TRANSFER [5338],Health & Beauty
MICROSOFT 365 PAYMENT,Technology
Thames Water 2025-01-20,Utilities
Trav3l0dg3 TRANSFER [7160],Accommodation
Direct Debit from O2 UK 4-5-2024,Utilities
MICROSOFT 365 PAYMENT,Technology
mcdonald's - online purchase,Food & Drink
POS Micr0s0ft 365 GB,Technology
Card Payment to RSPCA on 2025-01-04,Charitable Donations
Vanguard UK #REF53656,Investment
EE Mobile #REF24614,Utilities
Faster Payment to Google Services ref JWXI27571897000769,Technology
appl3.c0m/bill - 0nlin3 purchas3,Technology
Vanguard UK 2025-03-01,Investment
PREMIER INN PAYMENT,Accommodation
Holland & Barrett TRANSFER [8550],Health & Beauty
POS Cancer Research UK GB,Charitable Donations
Faster Payment to McDonald's ref RTLY41953435004465,Food & Drink
airbnb - online purchase,Accommodation
Barclays Interest TRANSFER [7743],Income
Direct Debit from John Lewis 22-11-2024,Shopping
Trainline #REF69046,Travel
POS Costa Coffee GB,Food & Drink
Faster Payment to Holland & Barrett ref ZRFI32772281991123,Health & Beauty
AVIVA PAYMENT,Insurance
SAINSBURY'S LOCAL PAYMENT,Groceries
ASDA PAYMENT,Groceries
kfc - online purchase,Food & Drink
Fast3r Paym3nt t0 Amaz0n UK r3f RKSR40544972995985,Shopping
b00ts - 0nlin3 purchas3,Health & Beauty
Hargreaves Lansdown #REF48365,Investment
Direct Line TRANSFER [5240],Insurance
Card Paym3nt t0 Pr3mi3r Inn 0n 2025-01-13,Accommodation
RSPCA PAYMENT,Charitable Donations
Faster Payment to RSPCA ref MKSH00335175502545,Charitable Donations
Aviva #REF65311,Insurance
Card Payment to EE Mobile on 2025-06-03,Utilities
tfl london - online purchase,Travel
tham3s wat3r - 0nlin3 purchas3,Utilities
Direct Line #REF96888,Insurance
AVIVA PAYMENT,Insurance
POS Dropbox GB,Technology
AIRBNB PAYMENT,Accommodation
POS KFC GB,Food & Drink
Micr0s0ft 365 TRANSFER [8026],Technology
TESCO EXTRA PAYMENT,Groceries
GIVEASYOULIVE PAYMENT,Charitable Donations
Card Payment to Starbucks on 2025-04-16,Food & Drink
POS EasyJet GB,Travel
Faster Payment to Microsoft 365 ref EHOJ28122689321962,Technology
Card Payment to Airbnb on 2025-02-28,Accommodation
POS Argos GB,Shopping
BRITISH GAS PAYMENT,Utilities
HOLLAND & BARRETT PAYMENT,Health & Beauty
POS Payroll Ltd GB,Income
Faster Payment to Costa Coffee ref IZYP39205117511590,Food & Drink
POS Sainsbury's Local GB,Groceries
Fast3r Paym3nt t0 Ub3r BV r3f YNQR64376777554801,Travel
Card Paym3nt t0 KFC 0n 2025-01-29,Food & Drink
POS Holland & Barrett GB,Health & Beauty
Argos #REF31483,Shopping
Cancer Research UK 2025-02-26,Charitable Donations
MORRISONS PAYMENT,Groceries
Card Paym3nt t0 Wis3 0n 2025-04-02,Transfer
BARCLAYS INTEREST PAYMENT,Income
Card Payment to Apple.com/Bill on 2025-01-15,Technology
Hargr3av3s Lansd0wn #REF88540,Investment
LIDL PAYMENT,Groceries
POS Aldi GB,Groceries
Aldi TRANSFER [2268],Groceries
Direct Debit from Vodafone UK 22-6-2024,Utilities
HMRC Refund 2025-05-05,Income
O2 UK TRANSFER [2782],Utilities
Payr0ll Ltd TRANSFER [1099],Income
Starbucks #REF89720,Food & Drink
Dir3ct D3bit fr0m Wis3 28-11-2023,Transfer
John Lewis TRANSFER [9255],Shopping
starbucks - online purchase,Food & Drink
HMRC Refund 2025-03-07,Income
thames water - online purchase,Utilities
REVOLUT PAYMENT,Transfer
Heathrow Express #REF45128,Travel
MICROSOFT 365 PAYMENT,Technology
HEATHROW EXPRESS PAYMENT,Travel
Sup3rdrug 2025-02-27,Health & Beauty
Airbnb #REF81752,Accommodation
Fast3r Paym3nt t0 H3athr0w Expr3ss r3f ACSS00513026990694,Travel
Faster Payment to HMRC Refund ref USBU52349260661460,Income
DIRECT LINE PAYMENT,Insurance
airbnb - online purchase,Accommodation
Direct Debit from Google Services 28-11-2022,Technology
sainsbury's local - online purchase,Groceries
Direct Debit from Aviva 24-1-2024,Insurance
Direct Debit from Morrisons 12-9-2024,Groceries
o2 uk - online purchase,Utilities
POS Boots GB,Health & Beauty
Card Payment to EE Mobile on 2025-03-10,Utilities
Card Payment to eBay UK on 2025-04-19,Shopping
Direct Debit from Premier Inn 18-11-2022,Accommodation
POS Greggs GB,Food & Drink
Faster Payment to iShares ETF ref SSZE45164953084852,Investment
Faster Payment to Sainsbury's Local ref GRIU10774826094952,Groceries
POS Monzo GB,Transfer
Dir3ct D3bit fr0m Airbnb 26-1-2022,Accommodation
Faster Payment to Airbnb ref KOHS92216510213201,Accommodation
Hargreaves Lansdown 2025-04-10,Investment
Direct Debit from RSPCA 3-9-2022,Charitable Donations
Direct Debit from British Gas 9-9-2022,Utilities
JOHN LEWIS PAYMENT,Shopping
pret a manger - online purchase,Food & Drink
lidl - online purchase,Groceries
Dir3ct Lin3 2025-02-27,Insurance
Direct Debit from Payroll Ltd 15-7-2022,Income
Card Paym3nt t0 Starbucks 0n 2025-04-02,Food & Drink
Airbnb 2025-04-26,Accommodation
O2 UK #REF61391,Utilities
Wise 2025-04-25,Transfer
POS Airbnb GB,Accommodation
Faster Payment to Costa Coffee ref HQUY06803002256528,Food & Drink
Morrisons 2025-02-02,Groceries
Card Payment to Lidl on 2025-05-09,Groceries
POS Sainsbury's Local GB,Groceries
Direct Debit from Pret A Manger 28-1-2024,Food & Drink
British Gas 2025-02-11,Utilities
Faster Payment to Barclays Interest ref TXDH23511993097450,Income
Vanguard UK TRANSFER [8952],Investment
Card Paym3nt t0 M0nz0 0n 2025-01-24,Transfer
Card Payment to TFL London on 2025-05-27,Travel
Card Payment to Vanguard UK on 2025-04-04,Investment
Gr3ggs #REF97386,Food & Drink
Barclays Interest 2025-03-12,Income
POS Aldi GB,Groceries
Card Payment to eBay UK on 2025-01-13,Shopping
Card Paym3nt t0 O2 UK 0n 2025-05-01,Utilities
POS Dropbox GB,Technology
Trainline 2025-04-25,Travel
POS Google Services GB,Technology
Card Payment to Dropbox on 2025-01-12,Technology
3bay uk - 0nlin3 purchas3,Shopping
Card Payment to Legal & General on 2025-01-14,Insurance
R3v0lut #REF49452,Transfer
Direct Debit from Vanguard UK 13-10-2023,Investment
Faster Payment to Aviva ref DUUK11639710797378,Insurance
SAINSBURY'S LOCAL PAYMENT,Groceries
POS Dir3ct Lin3 GB,Insurance
cancer research uk - online purchase,Charitable Donations
Wise 2025-05-17,Transfer
GOOGLE SERVICES PAYMENT,Technology
barclays interest - online purchase,Income
Airbnb 2025-01-10,Accommodation
Direct Debit from Hargreaves Lansdown 3-5-2023,Investment
Aviva 2025-01-08,Insurance
Amazon UK #REF14833,Shopping
Direct Debit from Heathrow Express 15-10-2023,Travel
PAYROLL LTD PAYMENT,Income
POS Barclays Interest GB,Income
Card Payment to WaterAid UK on 2025-03-19,Charitable Donations
POS Uber BV GB,Travel
Trainline TRANSFER [4071],Travel
Direct Debit from Google Services 9-10-2023,Technology
McD0nald's 2025-01-24,Food & Drink
Sainsbury's Local TRANSFER [2089],Groceries
KFC TRANSFER [9333],Food & Drink
Card Paym3nt t0 V0daf0n3 UK 0n 2025-05-30,Utilities
Direct Debit from Barclays Interest 26-7-2023,Income
wise - online purchase,Transfer
MORRISONS PAYMENT,Groceries
revolut - online purchase,Transfer
Dir3ct D3bit fr0m Barclays Int3r3st 19-2-2024,Income
Micr0s0ft 365 #REF24982,Technology
POS Vodafone UK GB,Utilities
Revolut 2025-03-13,Transfer
TFL London #REF98516,Travel
Card Payment to TFL London on 2025-03-23,Travel
EBAY UK PAYMENT,Shopping
PRET A MANGER PAYMENT,Food & Drink
sainsbury's local - online purchase,Groceries
Card Payment to British Gas on 2025-04-05,Utilities
john lewis - online purchase,Shopping
m0nz0 - 0nlin3 purchas3,Transfer
Card Payment to eBay UK on 2025-02-02,Shopping
Faster Payment to Legal & General ref ZEIU33010564535739,Insurance
O2 UK PAYMENT,Utilities
AMAZON UK PAYMENT,Shopping
mcdonald's - online purchase,Food & Drink
Direct Debit from Legal & General 20-9-2022,Insurance
Revolut TRANSFER [4234],Transfer
Monzo 2025-05-30,Transfer
Hargr3av3s Lansd0wn #REF37697,Investment
Direct Debit from Argos 10-8-2023,Shopping
Monzo #REF46325,Transfer
Card Payment to Cancer Research UK on 2025-03-31,Charitable Donations
tfl london - online purchase,Travel
Superdrug 2025-04-06,Health & Beauty
RSPCA #REF59337,Charitable Donations
iShares ETF TRANSFER [3297],Investment
TFL LONDON PAYMENT,Travel
Google Services TRANSFER [8997],Technology
Ub3r BV 2025-02-01,Travel
HEATHROW EXPRESS PAYMENT,Travel
Direct Debit from Pret A Manger 5-9-2024,Food & Drink
Microsoft 365 #REF52808,Technology
google services - online purchase,Technology
M0rris0ns 2025-05-30,Groceries
Direct Debit from Starbucks 6-9-2022,Food & Drink
POS Cancer Research UK GB,Charitable Donations
EasyJet TRANSFER [6325],Travel
Greggs 2025-04-22,Food & Drink
Thames Water 2025-05-13,Utilities
Card Payment to Vodafone UK on 2025-03-31,Utilities
Direct Debit from Microsoft 365 16-12-2024,Technology
eBay UK #REF63347,Shopping
Faster Payment to Starbucks ref OKYC35491074256130,Food & Drink
Card Payment to Barclays Interest on 2025-02-04,Income
Card Payment to HMRC Refund on 2025-05-19,Income
LEGAL & GENERAL PAYMENT,Insurance
Faster Payment to Revolut ref JWFY36231025023212,Transfer
Aviva 2025-01-04,Insurance
Fast3r Paym3nt t0 Gr3ggs r3f ILXO40992241097496,Food & Drink
Revolut #REF81331,Transfer
Faster Payment to Amazon UK ref PTOU42147673445319,Shopping
Argos TRANSFER [2888],Shopping
CANCER RESEARCH UK PAYMENT,Charitable Donations
UBER BV PAYMENT,Travel
J0hn L3wis 2025-05-10,Shopping
Direct Debit from Cancer Research UK 10-7-2023,Charitable Donations
ub3r bv - 0nlin3 purchas3,Travel
Direct Line TRANSFER [7675],Insurance
Card Payment to HMRC Refund on 2025-01-03,Income
Direct Debit from Lidl 25-10-2023,Groceries
Faster Payment to iShares ETF ref AHJU69747324034327,Investment
POS John Lewis GB,Shopping
Fast3r Paym3nt t0 Ub3r BV r3f DRTD40195237892893,Travel
Faster Payment to Wise ref HRHU30756649949647,Transfer
Direct Debit from Hargreaves Lansdown 6-1-2022,Investment
Card Payment to Giveasyoulive on 2025-05-15,Charitable Donations
Card Payment to Microsoft 365 on 2025-01-12,Technology
POS Superdrug GB,Health & Beauty
Card Payment to WaterAid UK on 2025-03-18,Charitable Donations
TFL London #REF20141,Travel
Faster Payment to Revolut ref JSQP33024088107831,Transfer
Vanguard UK #REF52763,Investment
Dir3ct D3bit fr0m Wis3 1-10-2024,Transfer
Tesco Extra #REF29353,Groceries
Revolut TRANSFER [3786],Transfer
Card Payment to Legal & General on 2025-01-07,Insurance
EASYJET PAYMENT,Travel
HMRC Refund #REF65153,Income
TESCO EXTRA PAYMENT,Groceries
Card Payment to Aviva on 2025-03-03,Insurance
mcdonald's - online purchase,Food & Drink
Direct Debit from EasyJet 18-2-2024,Travel
Card Payment to Revolut on 2025-03-05,Transfer
Card Payment to Revolut on 2025-01-10,Transfer
Dir3ct D3bit fr0m O2 UK 15-10-2023,Utilities
Direct Debit from Thames Water 21-12-2024,Utilities
Faster Payment to Greggs ref UCXI85983534618338,Food & Drink
Faster Payment to Microsoft 365 ref YYTN48809317997153,Technology
POS Boots GB,Health & Beauty
Card Payment to Cancer Research UK on 2025-03-10,Charitable Donations
POS Heathrow Express GB,Travel
Wise TRANSFER [5710],Transfer
Vanguard UK TRANSFER [3131],Investment
POS EasyJ3t GB,Travel
lidl - online purchase,Groceries
Google Services TRANSFER [5640],Technology
HOLLAND & BARRETT PAYMENT,Health & Beauty
Direct Debit from Payroll Ltd 11-2-2024,Income
Microsoft 365 #REF75789,Technology
Microsoft 365 TRANSFER [3354],Technology
Card Payment to Payroll Ltd on 2025-05-17,Income
airbnb - online purchase,Accommodation
Faster Payment to Heathrow Express ref JQZG36663635925836,Travel
POS EE Mobile GB,Utilities
Faster Payment to Argos ref KXPQ01459337623764,Shopping
O2 UK TRANSFER [3038],Utilities
Trainline 2025-02-25,Travel
giveasyoulive - online purchase,Charitable Donations
POS Costa Coffee GB,Food & Drink
KFC TRANSFER [5873],Food & Drink
ALDI PAYMENT,Groceries
Airbnb TRANSFER [4557],Accommodation
rspca - online purchase,Charitable Donations
Direct Debit from Legal & General 3-10-2022,Insurance
b00ts - 0nlin3 purchas3,Health & Beauty
Faster Payment to Starbucks ref LNUU39664388134244,Food & Drink
sainsbury's l0cal - 0nlin3 purchas3,Groceries
Faster Payment to Superdrug ref XWVS45481083872665,Health & Beauty
pret a manger - online purchase,Food & Drink
Direct Line TRANSFER [8036],Insurance
Direct Debit from RSPCA 22-9-2024,Charitable Donations
Direct Debit from Microsoft 365 22-5-2024,Technology
T3sc0 Extra #REF99732,Groceries
revolut - online purchase,Transfer
WaterAid UK TRANSFER [1390],Charitable Donations
KFC #REF45379,Food & Drink
Aviva TRANSFER [9730],Insurance
eBay UK 2025-03-01,Shopping
dr0pb0x - 0nlin3 purchas3,Technology
Dropbox #REF55226,Technology
Faster Payment to Monzo ref NVYH28409671564892,Transfer
Fast3r Paym3nt t0 Trav3l0dg3 r3f AQDE25135936394108,Accommodation
Asda 2025-04-13,Groceries
HMRC R3fund 2025-05-21,Income
Direct Line #REF43578,Insurance
Card Payment to Payroll Ltd on 2025-02-15,Income
Card Payment to Direct Line on 2025-03-19,Insurance
Payroll Ltd #REF79206,Income
Card Payment to Asda on 2025-06-01,Groceries
Faster Payment to Premier Inn ref PFPS70872217204634,Accommodation
Card Payment to Pret A Manger on 2025-03-04,Food & Drink
Tesco Extra 2025-01-29,Groceries
lidl - online purchase,Groceries
iShares ETF 2025-04-19,Investment
Card Payment to Amazon UK on 2025-01-08,Shopping
Monzo #REF37996,Transfer
Card Payment to Giveasyoulive on 2025-04-12,Charitable Donations
EasyJ3t TRANSFER [8117],Travel
POS Lidl GB,Groceries
33 m0bil3 - 0nlin3 purchas3,Utilities
Greggs TRANSFER [1669],Food & Drink
Direct Debit from Direct Line 8-12-2022,Insurance
Card Payment to Premier Inn on 2025-02-21,Accommodation
Faster Payment to Airbnb ref CMSB86558674078552,Accommodation
Fast3r Paym3nt t0 Wat3rAid UK r3f TBKW92132936889624,Charitable Donations
Direct Debit from Pret A Manger 3-3-2023,Food & Drink
Card Payment to HMRC Refund on 2025-05-10,Income
EE MOBILE PAYMENT,Utilities
Apple.com/Bill 2025-04-28,Technology
Dir3ct D3bit fr0m KFC 27-5-2024,Food & Drink
Faster Payment to Tesco Extra ref DGKY38034884316386,Groceries
Tham3s Wat3r 2025-04-20,Utilities
Card Payment to Airbnb on 2025-05-11,Accommodation
apple.com/bill - online purchase,Technology
Direct Debit from Superdrug 18-11-2024,Health & Beauty
Thames Water TRANSFER [8545],Utilities
Apple.com/Bill TRANSFER [4813],Technology
Vodafone UK 2025-05-27,Utilities
Faster Payment to John Lewis ref UVYY06551547934351,Shopping
HMRC Refund #REF33732,Income
POS Premier Inn GB,Accommodation
Barclays Interest TRANSFER [2590],Income
Wise 2025-02-18,Transfer
POS O2 UK GB,Utilities
JOHN LEWIS PAYMENT,Shopping
Thames Water 2025-03-25,Utilities
RSPCA #REF20066,Charitable Donations
Airbnb #REF45336,Accommodation
Lidl 2025-05-14,Groceries
Uber BV 2025-01-20,Travel
Premier Inn #REF49485,Accommodation
Direct Debit from Premier Inn 26-5-2023,Accommodation
Dir3ct D3bit fr0m Ub3r BV 27-1-2024,Travel
O2 UK TRANSFER [9805],Utilities
POS Vanguard UK GB,Investment
POS Gr3ggs GB,Food & Drink
Fast3r Paym3nt t0 Pr3t A Mang3r r3f OXRP50868569551723,Food & Drink
EASYJET PAYMENT,Travel
Fast3r Paym3nt t0 Canc3r R3s3arch UK r3f EMDC26859955088395,Charitable Donations
WaterAid UK TRANSFER [1077],Charitable Donations
Direct Debit from Argos 26-12-2022,Shopping
POS RSPCA GB,Charitable Donations
POS H3athr0w Expr3ss GB,Travel
Card Payment to Morrisons on 2025-04-20,Groceries
POS Monzo GB,Transfer
Argos 2025-03-08,Shopping
Revolut 2025-01-01,Transfer
EE MOBILE PAYMENT,Utilities
Faster Payment to Holland & Barrett ref BMQA35190300633913,Health & Beauty
Legal & General #REF77225,Insurance
Dir3ct D3bit fr0m HMRC R3fund 19-8-2023,Income
Dir3ct D3bit fr0m British Gas 26-11-2023,Utilities
POS Trainline GB,Travel
M0nz0 #REF33347,Transfer
Pr3t A Mang3r #REF10143,Food & Drink
premier inn - online purchase,Accommodation
POS Aldi GB,Groceries
POS McDonald's GB,Food & Drink
Airbnb TRANSFER [1417],Accommodation
Card Payment to Morrisons on 2025-02-15,Groceries
Faster Payment to Heathrow Express ref QRZM55599273010892,Travel
wise - online purchase,Transfer
POS Aldi GB,Groceries
POS Microsoft 365 GB,Technology
LIDL PAYMENT,Groceries
Uber BV 2025-04-30,Travel
Card Payment to Payroll Ltd on 2025-02-14,Income
Monzo TRANSFER [5106],Transfer
Direct Debit from Trainline 10-6-2022,Travel
STARBUCKS PAYMENT,Food & Drink
trainline - online purchase,Travel
APPLE.COM/BILL PAYMENT,Technology
MCDONALD'S PAYMENT,Food & Drink
Heathrow Express TRANSFER [9781],Travel
Faster Payment to Wise ref YBPD53576617548385,Transfer
m0nz0 - 0nlin3 purchas3,Transfer
amazon uk - online purchase,Shopping
Direct Debit from HMRC Refund 4-8-2023,Income
Costa Coffee 2025-01-06,Food & Drink
Card Payment to Legal & General on 2025-03-28,Insurance
RSPCA TRANSFER [6297],Charitable Donations
Direct Debit from Premier Inn 10-7-2022,Accommodation
POS Holland & Barrett GB,Health & Beauty
O2 UK 2025-02-01,Utilities
SUPERDRUG PAYMENT,Health & Beauty
Card Paym3nt t0 C0sta C0ff33 0n 2025-06-02,Food & Drink
John Lewis 2025-05-08,Shopping
Legal & General TRANSFER [2539],Insurance
POS Google Services GB,Technology
Gr3ggs 2025-06-01,Food & Drink
BRITISH GAS PAYMENT,Utilities
POS Pret A Manger GB,Food & Drink
POS Heathrow Express GB,Travel
Card Payment to Sainsbury's Local on 2025-05-28,Groceries
Faster Payment to EasyJet ref FVPK27941062824758,Travel
Direct Debit from Direct Line 25-11-2022,Insurance
AVIVA PAYMENT,Insurance
Dir3ct D3bit fr0m Tham3s Wat3r 11-1-2023,Utilities
eBay UK 2025-02-15,Shopping
Card Payment to Apple.com/Bill on 2025-03-12,Technology
Card Payment to Starbucks on 2025-05-12,Food & Drink
Faster Payment to Tesco Extra ref LJLV99305023555112,Groceries
Uber BV TRANSFER [8283],Travel
Wis3 2025-01-19,Transfer
3bay uk - 0nlin3 purchas3,Shopping
POS Payr0ll Ltd GB,Income
POS Trainline GB,Travel
tesco extra - online purchase,Groceries
GOOGLE SERVICES PAYMENT,Technology
Card Paym3nt t0 Wis3 0n 2025-05-12,Transfer
Asda #REF74284,Groceries
Wat3rAid UK #REF67716,Charitable Donations
Direct Debit from TFL London 14-2-2024,Travel
Direct Debit from Vanguard UK 10-5-2023,Investment
Card Paym3nt t0 Wis3 0n 2025-01-02,Transfer
Cancer Research UK TRANSFER [9391],Charitable Donations
SUPERDRUG PAYMENT,Health & Beauty
HARGREAVES LANSDOWN PAYMENT,Investment
Faster Payment to Hargreaves Lansdown ref OBCZ84814315446852,Investment
canc3r r3s3arch uk - 0nlin3 purchas3,Charitable Donations
Morrisons TRANSFER [6264],Groceries
morrisons - online purchase,Groceries
Direct Debit from Lidl 8-12-2022,Groceries
Barclays Int3r3st TRANSFER [1658],Income
Direct Debit from Wise 25-5-2023,Transfer
LEGAL & GENERAL PAYMENT,Insurance
TRAINLINE PAYMENT,Travel
Giveasyoulive 2025-05-09,Charitable Donations
Google Services #REF80716,Technology
Amaz0n UK #REF97394,Shopping
Direct Debit from Aldi 14-5-2023,Groceries
wateraid uk - online purchase,Charitable Donations
POS Aldi GB,Groceries
POS Hargr3av3s Lansd0wn GB,Investment
33 m0bil3 - 0nlin3 purchas3,Utilities
easyjet - online purchase,Travel
Card Payment to Amazon UK on 2025-05-20,Shopping
Barclays Int3r3st 2025-05-01,Income
Direct Debit from Sainsbury's Local 10-8-2024,Groceries
Aldi #REF29126,Groceries
British Gas TRANSFER [3851],Utilities
POS HMRC Refund GB,Income
Apple.com/Bill #REF67293,Technology
Card Payment to Payroll Ltd on 2025-01-29,Income
EBAY UK PAYMENT,Shopping
lidl - online purchase,Groceries
Trainline 2025-01-12,Travel
Fast3r Paym3nt t0 KFC r3f GBAN89141553293256,Food & Drink
AVIVA PAYMENT,Insurance
payroll ltd - online purchase,Income
JOHN LEWIS PAYMENT,Shopping
3bay uk - 0nlin3 purchas3,Shopping
Faster Payment to Travelodge ref NUAL53951600072571,Accommodation
Faster Payment to Revolut ref QCWS89522322312708,Transfer
POS O2 UK GB,Utilities
B00ts 2025-03-12,Health & Beauty
Direct Debit from Wise 4-10-2022,Transfer
Fast3r Paym3nt t0 Micr0s0ft 365 r3f PETQ96145306399850,Technology
VANGUARD UK PAYMENT,Investment
uber bv - online purchase,Travel
Cancer Research UK 2025-04-21,Charitable Donations
Direct Debit from Lidl 4-6-2023,Groceries
Card Payment to Cancer Research UK on 2025-05-12,Charitable Donations
POS Monzo GB,Transfer
Card Payment to Travelodge on 2025-05-02,Accommodation
